,Neo-Assyrian,Hellenistic,Neo-Babylonian,Old Assyrian,Middle Assyrian,Middle Babylonian,"Neo-Assyrian, Neo-Babylonian",Achaemenid,Old Babylonian,unspecified,Seleucid,Uncertain,Standard Babylonian,uncertain,First Millennium,ED IIIa,Old Akkadian,Ur III,ED IIIb,Lagaš II,Early Dynastic
unspecified,78252.0,259.0,129.0,6.0,138.0,279.0,,193.0,3971.0,1256.0,130.0,,388.0,4.0,90.0,7.0,235.0,1124.0,24.0,680.0,1450.0
Akkadian,33797.0,2015.0,1971.0,416.0,3825.0,192.0,,1571.0,7.0,220.0,2488.0,55.0,,,,,,,,,
Sumerian,143.0,,12.0,,,40.0,,,687.0,,,,,,,,,,,,
"Akkadian, Aramaic, Luwian",4.0,,,,,,,,,,,,,,,,,,,,
"Akkadian, Aramaic",123.0,,,,,,,,,,,,,,,,,,,,
Aramaic,8.0,,,,,,,,,,,,,,,,,,,,
"Sumerian, Akkadian",1590.0,227.0,366.0,,13.0,20.0,72.0,,39.0,33.0,,,,,,,,,,,
Sumerian/Akkadian Bilingual,291.0,,,,,,,6.0,,,248.0,,,,,,,,,,
bilingual,39.0,,,,,,,,,,,15.0,,,,,,,,,
akkadian,,,4.0,,,,,,,,,,,,,,,,,,
Sumerian (Akkadian colophon),,,4.0,,,,,,,,,,,,,,,,,,
Sumerian; Akkadian,,,,,,,,,10.0,,,,,,,,,,,,
