,Neo-Assyrian,Achaemenid,Neo-Babylonian,Old Babylonian,Lagaš II,Old Akkadian,Ur III,Early Dynastic,Middle Assyrian,Middle Babylonian,ED IIIa,ED IIIb,Seleucid,Old Assyrian,Hellenistic,"Neo-Assyrian, Neo-Babylonian",unspecified,Uncertain,Standard Babylonian,uncertain,First Millennium
unspecified,78252.0,193.0,129.0,3971.0,680.0,235.0,1124.0,1450.0,138.0,331.0,7.0,24.0,130.0,6.0,259.0,,1256.0,,388.0,4.0,90.0
Akkadian,33797.0,1571.0,1971.0,7.0,,,,,3825.0,192.0,,,2488.0,416.0,2015.0,,222.0,55.0,,,
"Akkadian, Aramaic",123.0,,,,,,,,,,,,,,,,,,,,
Sumerian,143.0,,12.0,687.0,,,,,,40.0,,,,,,,,,,,
"Akkadian, Aramaic, Luwian",4.0,,,,,,,,,,,,,,,,,,,,
Aramaic,8.0,,,,,,,,,,,,,,,,,,,,
"Sumerian, Akkadian",1590.0,,366.0,39.0,,,,,13.0,20.0,,,,,227.0,72.0,33.0,,,,
Sumerian/Akkadian Bilingual,291.0,6.0,,,,,,,,,,,248.0,,,,,,,,
bilingual,39.0,,,,,,,,,,,4.0,,,,,,15.0,,,
Sumerian (Akkadian colophon),,,4.0,,,,,,,,,,,,,,,,,,
akkadian,,,4.0,,,,,,,,,,,,,,,,,,
Sumerian; Akkadian,,,,29.0,,,,,,,,,,,,,,,,,
