,Neo-Assyrian,Achaemenid,Neo-Babylonian,Old Babylonian,Lagaš II,Old Akkadian,Ur III,Early Dynastic,Middle Assyrian,Middle Babylonian,Seleucid,Old Assyrian,"Neo-Assyrian, Neo-Babylonian",unspecified,Uncertain,Standard Babylonian,Hellenistic,uncertain,First Millennium
unspecified,22772.0,34.0,35.0,385.0,118.0,24.0,253.0,174.0,40.0,50.0,12.0,1.0,,358.0,,30.0,119.0,3.0,4.0
Akkadian,6750.0,1111.0,659.0,2.0,,,,,742.0,12.0,1305.0,66.0,,134.0,85.0,,548.0,,
"Akkadian, Aramaic",8.0,,,,,,,,,,,,,,,,,,
"Akkadian, Aramaic, Luwian",4.0,,,,,,,,,,,,,,,,,,
Sumerian,14.0,,,115.0,,,,,,16.0,,,,,,,,,
"Sumerian, Akkadian",388.0,,87.0,4.0,,,,,8.0,24.0,,,32.0,5.0,,,82.0,,
Sumerian/Akkadian Bilingual,153.0,7.0,,,,,,,,,59.0,,,,10.0,,,,
akkadian,,,3.0,,,,,,,,,,,,,,,,
Sumerian; Akkadian,,,,2.0,,,,,,,,,,,,,,,
bilingual,,,,,,,,,,,,,,,2.0,,,,
