,Neo-Assyrian,Achaemenid,Neo-Babylonian,Old Babylonian,Lagaš II,Old Akkadian,Ur III,Early Dynastic,Middle Assyrian,Middle Babylonian,ED IIIa,ED IIIb,Seleucid,Old Assyrian,Hellenistic,"Neo-Assyrian, Neo-Babylonian",unspecified,Uncertain,Standard Babylonian,uncertain,First Millennium
unspecified,101024.0,227.0,164.0,4356.0,798.0,259.0,1377.0,1624.0,178.0,381.0,7.0,24.0,142.0,7.0,378.0,,1614.0,,418.0,7.0,94.0
Akkadian,40547.0,2682.0,2630.0,9.0,,,,,4567.0,204.0,,,3793.0,482.0,2563.0,,356.0,140.0,,,
"Akkadian, Aramaic",131.0,,,,,,,,,,,,,,,,,,,,
Sumerian,157.0,,12.0,802.0,,,,,,56.0,,,,,,,,,,,
"Akkadian, Aramaic, Luwian",8.0,,,,,,,,,,,,,,,,,,,,
Aramaic,8.0,,,,,,,,,,,,,,,,,,,,
"Sumerian, Akkadian",1978.0,,453.0,43.0,,,,,21.0,44.0,,,,,309.0,104.0,38.0,,,,
Sumerian/Akkadian Bilingual,444.0,13.0,,,,,,,,,,,307.0,,,,,10.0,,,
bilingual,39.0,,,,,,,,,,,4.0,,,,,,17.0,,,
Sumerian (Akkadian colophon),,,4.0,,,,,,,,,,,,,,,,,,
akkadian,,,7.0,,,,,,,,,,,,,,,,,,
Sumerian; Akkadian,,,,31.0,,,,,,,,,,,,,,,,,
